,1,2
1,9893,7570
2,9892,7682
3,9891,7715
4,9889,7728
5,9888,7756
6,9887,7803
7,9886,7854
8,9883,7911
9,9880,7922
10,9879,7993
11,9873,8002
12,9871,8021
13,9869,8024
14,9868,8027
15,9866,8040
16,9865,8064
17,9864,8070
18,9861,8084
19,9857,8090
20,9855,8111
21,9851,8137
22,9846,8146
23,9845,8150
24,9844,8156
25,9842,8168
26,9840,8175
27,9838,8184
28,9836,8206
29,9833,8207
30,9831,8219
31,9830,8221
32,9829,8226
33,9827,8234
34,9825,8240
35,9824,8253
36,9823,8255
37,9821,8263
38,9818,8265
39,9817,8274
40,9816,8280
41,9815,8283
42,9814,8287
43,9813,8290
44,9812,8301
45,9809,8324
46,9805,8329
47,9804,8337
48,9802,8344
49,9800,8348
50,9799,8358
51,9797,8359
52,9794,8364
53,9793,8367
54,9792,8371
55,9791,8374
56,9790,8381
57,9789,8387
58,9788,8390
59,9787,8395
60,9786,8399
61,9785,8404
62,9783,8418
63,9779,8428
64,9777,8430
65,9775,8445
66,9771,8446
67,9770,8447
68,9769,8453
69,9768,8459
70,9767,8462
71,9766,8483
72,9762,8486
73,9760,8487
74,9759,8491
75,9756,8498
76,9755,8504
77,9754,8526
78,9749,8527
79,9747,8529
80,9746,8530
81,9745,8552
82,9738,8553
83,9737,8554
84,9736,8566
85,9735,8578
86,9733,8586
87,9732,8593
88,9727,8595
89,9726,8596
90,9725,8603
91,9722,8613
92,9719,8615
93,9717,8620
94,9716,8621
95,9715,8628
96,9712,8631
97,9710,8640
98,9708,8649
99,9707,8661
9707,9700,8669
9700,9697,8679
9697,9693,8681
9693,9692,8691
9692,9690,8694
9690,9686,8704
9686,9685,8706
9685,9682,8709
9682,9680,8715
9680,9679,8733
9679,9673,8735
9673,9670,8743
9670,9669,8746
9669,9668,8747
9668,9663,8748
9663,9662,8764
9662,9659,8769
9659,9655,8772
9655,9653,8775
9653,9652,8776
9652,9651,8781
9651,9650,8789
9650,9648,8791
9648,9645,8792
9645,9642,8800
9642,9639,8803
9639,9636,8811
9636,9633,8815
9633,9632,8824
9632,9628,8837
9628,9621,8842
9621,9619,8846
9619,9617,8847
9617,9616,8851
9616,9615,8856
9615,9611,8860
9611,9609,8864
9609,9607,8874
9607,9603,8876
9603,9601,8883
9601,9598,8885
9598,9597,8892
9597,9594,8895
9594,9590,8896
9590,9589,8900
9589,9588,8903
9588,9587,8906
9587,9585,8913
9587,9584,8914
9585,9581,8916
9584,9580,8918
9581,9578,8921
9580,9576,8932
9578,9574,8936
9576,9569,8942
9574,9567,8943
9569,9565,8944
9567,9560,8956
9565,9557,8961
9560,9552,8963
9557,9551,8973
9552,9550,8974
9551,9546,8984
9550,9538,8985
9546,9536,8997
9538,9529,8998
9536,9528,9003
9529,9526,9006
9528,9524,9010
9526,9523,9011
9524,9521,9013
9523,9520,9017
9521,9519,9019
9520,9517,9025
9519,9513,9033
9517,9512,9037
9513,9505,9038
9512,9503,9039
9505,9501,9041
9503,9500,9048
9501,9496,9053
9500,9492,9054
9496,9491,9057
9492,9487,9067
9491,9482,9072
9487,9480,9073
9482,9478,9074
9480,9477,9075
9478,9475,9081
9477,9473,9084
9475,9472,9093
9473,9465,9094
9472,9463,9103
9465,9456,9111
9463,9453,9116
9456,9446,9121
9453,9444,9122
9446,9443,9127
9444,9439,9130
9443,9437,9132
9439,9435,9134
9437,9434,9137
9435,9433,9141
9434,9428,9148
9433,9423,9154
9428,9419,9155
9423,9418,9156
9419,9417,9159
9418,9414,9163
9417,9413,9166
9414,9411,9171
9413,9406,9173
9411,9404,9181
9406,9397,9184
9404,9394,9188
9397,9393,9191
